"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","sum_MATHbelow","mean_ESCS","mean_ESCS_std","Y_MATH","Y_BIN_MATH"
3100180,"Baku (Azerbaijan)","public",21.9149,3090,18,-0.892245454545455,-0.782970045698768,1,0
3100181,"Baku (Azerbaijan)","public",11.6222,2092,33,-0.847319444444445,-0.683460426986618,2,0
3100184,"Baku (Azerbaijan)","public",12.6957,584,32,-0.491478048780488,0.104716433698452,5,1
3100193,"Baku (Azerbaijan)","public",19.6421,1866,26,-0.4073625,0.291029577645358,1,0
3100194,"Baku (Azerbaijan)","public",13.433,1303,29,-0.386572222222222,0.337079351705749,2,0
3100196,"Baku (Azerbaijan)","public",8.8696,612,17,0.121875862068966,1.46327495396338,3,1
3100198,"Baku (Azerbaijan)","public",15.7534,2300,23,-0.776420689655172,-0.526422042309584,1,0
3100199,"Baku (Azerbaijan)","public",8.0808,1600,22,-0.367810344827586,0.378636286356003,1,0
3200001,"Argentina","public",10.6542,570,23,-1.58993333333333,-0.776473504570645,4,1
3200002,"Argentina","private",14.6353,622,31,-0.524188571428571,0.507292846121757,5,1
3200003,"Argentina","public",1.8667,56,6,-2.66946666666667,-2.07684918299034,11,1
3200004,"Argentina","public",39,39,1,-3.1367,-2.639665396305,3,1
3200005,"Argentina","private",10.7333,322,26,-0.335412121212121,0.734687681408496,8,1
3200006,"Argentina","private",6.6667,350,20,0.254329411764706,1.44507384768745,6,1
3200007,"Argentina","public",10.0588,171,19,-1.13675263157895,-0.23058469845945,11,1
3200008,"Argentina","private",15.2,228,26,0.0318742857142857,1.17711062087116,11,1
3200009,"Argentina","public",6.2,775,24,-1.14070740740741,-0.23534851087926,3,1
3200010,"Argentina","public",1.75,560,19,-2.00448947368421,-1.27583624364168,3,1
3200012,"Argentina","private",4.7727,105,7,-0.667357142857143,0.334835986800007,7,1
3200014,"Argentina","public",7.3381,510,28,-0.850425806451613,0.114316591735122,5,1
3200015,"Argentina","public",16.3717,925,33,-0.896052941176471,0.0593554206066866,4,1
3200016,"Argentina","public",5.6209,1186,14,-0.392214285714286,0.666265381772657,1,0
3200017,"Argentina","public",3.5333,212,27,-1.32287407407407,-0.454781385657362,13,1
3200018,"Argentina","private",12.0164,733,26,-0.097759375,1.02095753667054,4,1
3200019,"Argentina","private",11.4231,297,12,0.956754545454545,2.29119552967439,4,1
3200020,"Argentina","public",3.9256,1531,11,-1.2930125,-0.418810968212861,1,0
3200021,"Argentina","public",12.08,453,32,-1.548696875,-0.726801219496076,7,1
3200022,"Argentina","private",14.8462,386,26,-0.307231034482759,0.768633830770226,7,1
3200023,"Argentina","public",8.3171,341,16,-1.78595294117647,-1.01259324507511,5,1
3200024,"Argentina","public",5.3385,347,25,-1.59072,-0.777421101248552,7,1
3200025,"Argentina","public",3.7867,284,16,-1.03685294117647,-0.110248323778072,6,1
3200026,"Argentina","public",7.12,534,24,-0.711784615384615,0.281319895221809,4,1
3200027,"Argentina","private",16.5315,1182,22,-0.12494,0.988216515543286,2,0
3200028,"Argentina","public",1,46,6,-1.83835,-1.07570927754115,13,1
3200030,"Argentina","public",7.5294,64,8,-1.5896375,-0.77611715200639,12,1
3200031,"Argentina","private",8.5818,236,27,-0.74415,0.242333457585288,11,1
3200033,"Argentina","private",22.4444,303,6,-2.0863,-1.37438291688917,2,0
3200034,"Argentina","private",4.6286,162,14,0.750533333333333,2.0427872218099,9,1
3200036,"Argentina","private",14.1455,389,11,0.6622,1.93638335755336,3,1
3200037,"Argentina","public",4.6598,452,27,-0.991975862068965,-0.056190648680885,6,1
3200038,"Argentina","public",13.8624,1310,32,-1.27694411764706,-0.399455443970923,2,0
3200041,"Argentina","private",27.6296,746,23,-0.000632258064516144,1.13795414685204,3,1
3200042,"Argentina","private",4.4681,210,18,0.19033,1.36798194517527,9,1
3200043,"Argentina","private",11.7407,317,26,-0.0618257142857143,1.06424221995602,8,1
3200044,"Argentina","public",13.9877,1140,26,-1.59210384615385,-0.779088043644467,2,0
3200045,"Argentina","public",4.39,439,25,-1.57451153846154,-0.757896841535204,6,1
3200046,"Argentina","private",9.5778,431,30,-0.562553125,0.461079977248433,7,1
3200047,"Argentina","public",1.456,91,3,-2.09543333333333,-1.38538467492928,3,1
3200048,"Argentina","public",5.6471,240,27,-1.99021111111111,-1.25863692719225,11,1
3200050,"Argentina","private",8.4,147,26,-0.639881481481481,0.367932400498585,18,1
3200051,"Argentina","public",12.5333,376,29,-1.6824724137931,-0.887943494257431,8,1
3200052,"Argentina","public",8.449,207,28,-1.76999642857143,-0.993372476004525,14,1
3200053,"Argentina","public",14.35,861,26,-1.25829285714286,-0.376988656904104,3,1
3200054,"Argentina","private",16.6909,459,10,-0.6658,0.336711677560755,2,0
3200055,"Argentina","private",7.25,232,25,-0.146535483870968,0.962203199305241,11,1
3200056,"Argentina","public",15.3333,1219,34,-1.58997352941176,-0.77652192364317,3,1
3200057,"Argentina","public",5.4054,100,19,-0.541257142857143,0.486732522076413,19,1
3200058,"Argentina","public",9.5977,835,27,-1.56178620689655,-0.742568262828107,3,1
3200060,"Argentina","public",5.5556,550,17,-0.738175,0.249530775573207,3,1
3200062,"Argentina","private",14.1837,695,30,-0.40408064516129,0.651971496869053,4,1
3200063,"Argentina","public",4.3077,896,33,-1.39975,-0.547383977206242,4,1
3200065,"Argentina","public",11.4308,1486,34,-0.791023529411765,0.185870914255996,2,0
3200066,"Argentina","public",4.2519,1114,26,-0.701272413793103,0.293982599423853,2,0
3200067,"Argentina","public",11.9785,557,28,-1.75866071428571,-0.979717791429717,5,1
3200068,"Argentina","private",6.3137,161,23,-0.637386206896552,0.370938138516144,14,1
3200069,"Argentina","private",16.1034,467,28,-0.174488571428571,0.928531691372822,6,1
3200070,"Argentina","private",5.2813,169,23,-0.7243125,0.266229155591202,14,1
3200071,"Argentina","private",12.4138,360,29,0.297923529411765,1.49758610327049,8,1
3200072,"Argentina","public",2.1778,98,12,-1.49724615384615,-0.664825118935079,12,1
3200073,"Argentina","private",12.1667,292,10,0.2106625,1.39247390634503,3,1
3200074,"Argentina","public",11.2444,506,26,-1.64510769230769,-0.842934995167805,5,1
3200076,"Argentina","public",8.3407,563,15,0.09886875,1.257810279933,3,1
3200078,"Argentina","public",16.5484,513,27,-1.47417857142857,-0.637038553935604,5,1
3200079,"Argentina","public",11.5214,674,27,-1.68806551724138,-0.894680790333844,4,1
3200081,"Argentina","public",11.9714,419,25,-1.679744,-0.88465692326637,6,1
3200082,"Argentina","public",4.275,171,16,-1.574475,-0.757852828325752,9,1
3200083,"Argentina","public",8.4151,223,27,-1.89457407407407,-1.14343522560599,12,1
3200085,"Argentina","public",5.5,187,27,-2.24251851851852,-1.56255937770579,14,1
3200088,"Argentina","public",6.7333,202,14,-1.44305,-0.599541946892748,7,1
3200089,"Argentina","public",3.4937,1380,26,-0.789303448275862,0.187942875912918,2,0
3200090,"Argentina","private",9.8734,390,31,-0.953939393939394,-0.0103729823602398,8,1
3200091,"Argentina","public",8.5333,768,24,-0.809188888888889,0.163989429984579,3,1
3200092,"Argentina","public",10.768,673,30,-1.26219333333333,-0.381687061497771,4,1
3200093,"Argentina","public",8.44,422,28,-1.20238387096774,-0.309642254915075,7,1
3200094,"Argentina","private",6.1404,175,18,-2.36537777777778,-1.71055220727048,10,1
3200096,"Argentina","public",3.1714,111,14,-2.43825,-1.79833204924865,13,1
3200097,"Argentina","public",13.7857,193,32,-1.00860571428571,-0.0762225038266647,17,1
3200098,"Argentina","private",5.6364,310,15,0.27661935483871,1.47192369007008,5,1
3200099,"Argentina","public",15.25,610,28,-1.29492857142857,-0.421119014298048,5,1
3200100,"Argentina","private",17.8571,625,25,-0.0952181818181818,1.02401858694641,4,1
3200102,"Argentina","public",10.4299,558,13,-0.44905625,0.59779514043003,2,0
3200103,"Argentina","private",12.1724,353,24,-0.571489655172414,0.450315282794962,7,1
3200105,"Argentina","public",7.2625,581,21,-0.655240909090909,0.349430863324114,4,1
3200109,"Argentina","private",20.4211,388,29,0.418497058823529,1.64282560655117,7,1
3200110,"Argentina","private",12.4478,417,24,0.0395794117647059,1.18639200033925,6,1
3200111,"Argentina","public",3.4041,497,28,-0.351583870967742,0.715207643682597,6,1
3200112,"Argentina","private",9.0714,381,22,-0.724155882352941,0.266417812831102,6,1
3200113,"Argentina","public",27.5,330,31,-1.16802580645161,-0.268255490769134,9,1
3200114,"Argentina","private",9.5082,290,16,0.759981818181818,2.0541686025561,6,1
3200115,"Argentina","private",18.2985,613,24,-0.0697705882352941,1.05467204686998,4,1
3200116,"Argentina","public",13.4043,315,25,-0.7276,0.262269124982786,8,1
3200117,"Argentina","public",14.6296,395,31,-1.80327096774194,-1.03345405580563,8,1
3200118,"Argentina","private",19.5333,293,26,-0.122821875,0.990767949712853,9,1
3200119,"Argentina","private",6.0435,278,25,-0.457240740740741,0.587936331655087,9,1
3200120,"Argentina","public",6.5429,687,26,-1.04771034482759,-0.123326848732091,4,1
3200121,"Argentina","public",6.7092,473,24,-0.905646666666667,0.0477990870432153,5,1
